designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002333.87-720328.4,5.8911312,-72.0579093,00h23m33.87s,-72d03m28.47s,0.0458,0.0568,0.0230,9.025,0.029,37.0,3.908E+01,9.178,0.030,36.6,1.706E+01,9.268,0.051,21.3,8.692E-01,8.760,null,0.9,8.162E-01,1,0,0.000,0.001,0.000,0.000,272,37,-8,33,dh00,3,420n,AAAU,0011,45,45,45,45,23,23,0,23
J002417.31-720552.5,6.0721642,-72.0979200,00h24m17.32s,-72d05m52.51s,0.0375,0.0374,0.0055,8.341,0.024,44.6,2.000E+01,8.571,0.022,48.7,9.896E+00,8.528,0.024,46.0,1.788E+00,9.080,null,0.0,9.243E-01,1,0,0.000,0.000,0.000,0.000,-75,34,-26,34,ddd0,3,341n,AAAU,0011,44,44,44,44,20,20,0,20
J002349.51-720529.8,5.9563104,-72.0916348,00h23m49.51s,-72d05m29.89s,0.0459,0.0461,-0.0065,8.658,0.027,40.3,4.946E+00,8.850,0.027,39.8,2.994E+00,8.704,0.028,38.3,2.619E+00,8.802,0.486,2.2,1.594E+00,2,0,0.000,0.000,0.000,0.000,-132,37,-41,38,ddd0,3,883n,AAAC,0011,43,43,43,43,20,20,0,20
J002410.26-720238.5,6.0427549,-72.0440392,00h24m10.26s,-72d02m38.54s,0.0331,0.0331,0.0068,8.266,0.022,49.3,4.132E+01,8.535,0.020,55.6,2.286E+01,8.622,0.022,48.7,1.955E+00,9.077,0.520,2.1,7.965E-01,1,0,0.000,0.000,0.000,0.000,-372,30,12,30,ddh0,3,342n,AAAC,0011,46,46,46,46,22,22,0,22
J002424.72-720449.3,6.1030169,-72.0803813,00h24m24.72s,-72d04m49.37s,0.0395,0.0396,0.0049,8.148,0.025,42.8,1.038E+01,8.318,0.023,47.7,4.964E+00,8.176,0.027,40.4,2.041E+00,7.760,0.147,7.4,1.603E+00,1,0,0.000,0.000,0.000,0.000,89,33,66,33,ddd0,3,584n,AAAB,0011,44,46,46,46,20,20,6,20
J002341.82-720417.5,5.9242574,-72.0715331,00h23m41.82s,-72d04m17.52s,0.0349,0.0358,0.0064,8.302,0.022,49.7,9.834E+00,8.418,0.021,52.4,6.862E+00,8.330,0.026,42.0,1.877E+00,8.459,0.279,3.9,1.303E+00,2,0,0.002,0.000,0.000,0.000,-36,32,227,32,ddd0,3,442n,AAAB,0011,43,43,43,43,20,20,1,20
J002421.02-720331.7,6.0876240,-72.0588209,00h24m21.03s,-72d03m31.76s,0.0345,0.0341,0.0070,8.308,0.022,48.6,3.068E+01,8.467,0.020,53.0,2.395E+01,8.464,0.023,46.5,2.400E+00,8.936,null,0.9,1.093E+00,1,0,0.000,0.000,0.000,0.000,44,31,380,30,ddh0,3,661n,AAAU,0011,45,45,45,45,21,21,0,21
J002351.82-720431.5,5.9659498,-72.0754284,00h23m51.83s,-72d04m31.54s,0.0605,0.0508,0.0178,8.653,0.027,39.7,5.668E+01,8.777,0.029,37.7,3.990E+01,8.707,0.039,27.6,4.175E+00,8.509,0.389,2.8,8.504E-01,3,0,0.000,0.000,0.000,0.000,-1252,64,774,41,ddd0,3,665n,AAAC,0011,44,44,44,44,21,21,1,21
J002349.27-720509.6,5.9553031,-72.0860205,00h23m49.27s,-72d05m09.67s,0.0417,0.0387,-0.0053,8.623,0.022,48.7,5.295E+01,8.784,0.022,49.4,2.794E+01,8.790,0.041,26.7,2.100E+00,8.138,null,1.7,1.051E+00,2,0,0.000,0.000,0.000,0.000,129,38,504,39,ddh0,3,440n,AAAU,0011,44,44,44,44,21,21,0,21
J002344.14-720620.7,5.9339542,-72.1057519,00h23m44.15s,-72d06m20.71s,0.0565,0.0573,-0.0067,10.248,0.028,38.5,4.998E+01,10.594,0.030,35.8,1.880E+01,10.715,0.100,10.8,9.653E-01,8.964,null,-1.3,8.943E-01,1,0,0.000,0.000,0.000,0.000,32,44,505,45,dd00,3,441n,AAAU,0011,42,42,42,42,14,19,0,19
J002337.37-720423.1,5.9057325,-72.0731056,00h23m37.38s,-72d04m23.18s,0.0429,0.0641,-0.0178,10.251,0.027,39.7,3.452E+02,10.761,0.030,35.9,7.083E+01,10.941,0.142,7.6,9.475E-01,9.113,null,0.2,9.157E-01,1,0,0.000,0.000,0.000,0.000,62,29,-69,29,dd00,3,n4nn,AABU,0011,45,45,44,44,7,21,0,22
J002337.09-720658.4,5.9045816,-72.1162314,00h23m37.10s,-72d06m58.43s,0.0417,0.0434,0.0067,10.943,0.024,44.6,4.279E+01,11.678,0.022,50.3,1.348E+01,12.242,0.435,2.5,7.883E-01,9.217,null,0.3,1.071E+00,1,0,0.000,0.000,0.000,0.000,-546,47,-210,45,dh00,3,33nn,AACU,0011,43,43,43,43,0,20,1,20
J002351.18-720637.8,5.9632728,-72.1105045,00h23m51.19s,-72d06m37.82s,0.0363,0.0367,0.0099,9.666,0.023,46.6,3.655E+01,10.272,0.019,57.7,1.105E+01,10.176,0.066,16.5,8.277E-01,9.133,null,-0.2,9.353E-01,1,0,0.000,0.000,0.000,0.000,-134,34,402,34,ddd0,3,341n,AAAU,0011,42,42,42,42,19,19,0,19
J002343.20-720241.6,5.9300248,-72.0449073,00h23m43.21s,-72d02m41.67s,0.0383,0.0388,0.0088,9.063,0.024,45.0,1.852E+00,9.322,0.021,51.9,2.930E+00,9.238,0.040,27.4,8.578E-01,8.881,null,1.2,1.065E+00,1,0,0.000,0.001,0.000,0.000,-67,35,87,35,ddd0,2,120n,AAAU,0011,46,46,45,45,22,22,1,23
J002336.96-720232.1,5.9040222,-72.0422758,00h23m36.97s,-72d02m32.19s,0.0402,0.0404,0.0103,10.744,0.024,45.1,8.141E+01,11.293,0.022,50.1,2.219E+01,11.465,0.173,6.3,8.757E-01,9.380,null,-0.7,1.009E+00,2,0,0.000,0.000,0.000,0.000,-309,39,181,38,dd00,3,32nn,AABU,0011,46,46,46,46,5,23,0,23
J002406.67-720442.7,6.0278152,-72.0785555,00h24m06.68s,-72d04m42.80s,0.0427,0.0338,0.0101,5.340,0.128,8.5,1.395E+03,6.423,0.192,5.6,7.381E+02,5.991,0.016,66.3,1.064E+02,5.356,0.045,24.4,1.817E+01,1,0,0.288,0.125,0.000,0.000,11774,20,5172,20,ddd0,3,nnn9,BBAA,0011,33,37,38,38,20,20,17,20
J002337.25-720610.2,5.9052292,-72.1028428,00h23m37.26s,-72d06m10.23s,0.0546,0.0541,0.0060,10.093,0.029,37.1,9.925E+00,10.454,0.028,38.6,7.325E+00,10.575,0.097,11.2,1.020E+00,9.111,null,-2.2,8.355E-01,1,0,0.000,0.000,0.000,0.000,27,43,-48,42,ddd0,3,252n,AAAU,0011,44,44,44,44,17,20,0,20
J002428.04-720403.9,6.1168556,-72.0677687,00h24m28.05s,-72d04m03.97s,0.0467,0.0445,0.0041,9.516,0.025,43.0,5.500E+01,9.858,0.025,44.1,2.954E+01,9.844,0.057,19.0,1.029E+00,8.705,null,1.2,9.671E-01,2,0,0.000,0.000,0.000,0.000,-245,41,163,40,ddd0,3,330n,AAAU,0011,45,45,45,45,21,21,0,21
J002401.37-720649.9,6.0057273,-72.1138653,00h24m01.37s,-72d06m49.92s,0.0575,0.0452,-0.0136,10.339,0.025,42.9,4.050E+01,11.609,0.025,42.6,1.122E+02,12.503,null,-1.7,1.672E+00,8.889,null,-2.7,8.151E-01,1,0,0.000,0.000,0.000,0.000,-159,48,-81,44,hdD0,3,3nnn,AAUU,0011,43,43,42,43,0,18,0,19
J002353.61-720622.1,5.9733813,-72.1061547,00h23m53.61s,-72d06m22.16s,0.0618,0.0586,-0.0075,9.733,0.028,38.9,6.653E+01,10.130,0.035,30.8,1.707E+01,10.063,0.085,12.8,1.030E+00,8.689,null,0.1,9.902E-01,1,0,0.000,0.001,0.000,0.000,610,47,-217,49,ddd0,3,341n,AAAU,0011,42,42,42,42,19,19,0,19
J002342.36-720304.5,5.9265347,-72.0512710,00h23m42.37s,-72d03m04.58s,0.0462,0.0458,0.0074,10.268,0.026,41.2,7.733E+00,10.481,0.024,44.7,3.186E+00,10.584,0.081,13.3,8.925E-01,9.171,null,-0.9,8.709E-01,1,0,0.000,0.000,0.000,0.000,-89,44,-64,44,dd00,3,130n,AAAU,0011,45,45,45,45,20,22,0,22
J002405.10-720452.5,6.0212760,-72.0812723,00h24m05.11s,-72d04m52.58s,0.0198,0.0199,-0.0027,2.394,0.063,17.1,1.966E+02,4.051,0.084,12.9,1.331E+02,5.826,0.016,68.5,8.961E+01,5.148,0.045,24.3,1.521E+01,1,0,0.296,0.120,0.000,0.000,1170,22,-17124,22,dhd0,5,nn43,AAAA,0011,41,41,41,41,20,20,20,20
J002430.15-720431.4,6.1256346,-72.0754007,00h24m30.15s,-72d04m31.44s,0.0354,0.0355,0.0019,6.747,0.039,27.7,2.264E+00,6.800,0.021,50.5,2.066E+00,6.528,0.017,64.3,1.117E+00,6.379,0.065,16.7,9.193E-01,1,0,0.610,0.052,0.000,0.000,-3,33,137,33,dd00,2,1111,AAAA,0011,31,32,47,47,21,21,21,21
J002429.72-720338.0,6.1238425,-72.0605742,00h24m29.72s,-72d03m38.07s,0.0390,0.0381,0.0090,9.327,0.024,45.0,1.308E+01,9.696,0.021,51.7,9.248E+00,9.713,0.040,27.0,1.081E+00,9.323,null,-0.7,1.010E+00,1,0,0.000,0.000,0.000,0.004,-68,33,210,33,ddd0,3,330n,AAAU,0011,46,46,46,46,21,21,0,21
J002436.65-720539.4,6.1527186,-72.0942886,00h24m36.65s,-72d05m39.44s,0.0340,0.0349,0.0052,7.282,0.030,36.3,2.266E+00,7.492,0.020,53.1,1.772E+00,7.336,0.019,56.3,1.027E+00,7.377,0.095,11.4,9.054E-01,1,0,0.180,0.000,0.000,0.000,28,112,1,50,hh00,2,0000,AAAA,0011,45,45,45,45,21,21,14,21
J002339.08-720229.2,5.9128497,-72.0414565,00h23m39.08s,-72d02m29.24s,0.0457,0.0438,0.0092,10.345,0.026,42.4,4.523E+00,10.737,0.024,45.0,3.938E+00,10.690,0.100,10.8,9.351E-01,9.341,null,-0.5,1.038E+00,2,0,0.000,0.000,0.000,0.000,2,38,-2,39,dd00,3,441n,AAAU,0011,46,46,46,46,16,23,0,23
J002354.50-720507.8,5.9771143,-72.0855145,00h23m54.51s,-72d05m07.85s,0.0361,0.0351,-0.0020,6.434,0.037,29.2,2.754E+01,6.585,0.021,50.7,4.310E+01,6.479,0.017,64.6,2.757E+01,6.474,0.064,16.9,1.131E+00,1,0,0.329,0.016,0.000,0.000,75,26,-116,26,ddd0,3,3231,AAAA,0011,31,42,42,42,20,20,20,20
J002334.15-720348.7,5.8923088,-72.0635403,00h23m34.15s,-72d03m48.75s,0.0502,0.0486,-0.0077,11.398,0.025,44.3,3.057E+01,13.112,0.029,37.7,2.743E+01,12.214,null,-2.3,8.612E-01,9.250,null,-2.2,1.011E+00,1,0,0.000,0.000,0.000,0.000,-202,48,-278,46,dd00,3,33nn,AAUU,0011,45,45,41,44,0,22,0,23
J002348.61-720432.2,5.9525614,-72.0756113,00h23m48.61s,-72d04m32.20s,0.0442,0.0448,0.0066,9.096,0.023,47.6,6.052E+01,9.245,0.025,44.2,2.939E+01,9.242,0.035,31.2,3.077E+00,8.180,null,1.0,1.031E+00,1,0,0.000,0.000,0.000,0.000,277,35,571,34,ddd0,3,330n,AAAU,0011,43,43,43,43,20,20,0,20
J002346.91-720522.8,5.9454977,-72.0896769,00h23m46.92s,-72d05m22.84s,0.0476,0.0461,0.0015,9.434,0.027,40.4,3.686E+01,9.514,0.025,43.3,2.148E+01,9.397,0.046,23.7,1.665E+00,9.204,null,-2.1,9.188E-01,1,0,0.000,0.000,0.000,0.000,-613,70,512,98,ddd0,3,441n,AAAU,0011,44,44,44,44,20,21,0,21
J002430.06-720254.0,6.1252574,-72.0483561,00h24m30.06s,-72d02m54.08s,0.0533,0.0617,0.0188,10.896,0.027,39.5,5.597E+01,11.687,0.033,32.8,2.269E+01,11.768,null,1.9,1.076E+00,9.092,null,-0.9,9.850E-01,1,0,0.000,0.000,0.000,0.000,417,75,-103,78,ddd0,3,34nn,AAUU,0011,46,46,46,46,1,21,0,21
J002333.37-720236.0,5.8890466,-72.0433593,00h23m33.37s,-72d02m36.09s,0.0650,0.0639,-0.0052,11.725,0.036,30.1,1.194E+01,12.232,0.031,34.8,4.016E+00,12.876,null,-0.4,8.753E-01,9.356,null,0.0,9.823E-01,1,0,0.000,0.000,0.000,0.000,48,65,-187,65,hh00,3,32nn,AAUU,0011,46,46,46,46,0,23,0,23
J002435.11-720245.3,6.1463249,-72.0459182,00h24m35.12s,-72d02m45.31s,0.0375,0.0379,0.0097,10.436,0.022,49.1,1.523E+01,10.776,0.021,51.2,3.827E+00,11.025,0.133,8.2,8.014E-01,9.368,null,-0.4,1.008E+00,2,0,0.000,0.000,0.000,0.000,-31,38,-4,44,dd00,3,221n,AABU,0011,45,45,45,45,9,20,0,20
J002426.37-720251.6,6.1099148,-72.0476681,00h24m26.38s,-72d02m51.61s,0.0357,0.0353,0.0080,8.636,0.022,49.1,6.260E+01,8.832,0.020,53.1,2.984E+01,8.867,0.031,35.2,2.359E+00,8.900,0.448,2.4,9.612E-01,1,0,0.001,0.000,0.000,0.000,-707,31,773,30,ddd0,3,352n,AAAC,0011,47,47,47,47,22,22,0,22
J002403.15-720506.1,6.0131432,-72.0850417,00h24m03.15s,-72d05m06.15s,0.0308,0.0304,-0.0017,1.052,null,1.4,6.733E-01,3.633,0.075,14.5,1.840E+02,5.112,0.013,82.5,7.089E+01,4.844,0.035,30.8,5.925E+00,1,0,0.285,0.116,0.000,0.000,1060,26,1165,26,hhh0,3,nn31,UAAA,0011,34,42,42,42,20,20,20,20
J002434.19-720619.1,6.1424949,-72.1053238,00h24m34.20s,-72d06m19.17s,0.0339,0.0349,0.0079,8.389,0.022,49.5,1.589E+02,8.539,0.019,56.7,1.076E+02,8.801,0.034,32.2,4.550E+00,8.703,null,1.2,9.622E-01,1,0,0.000,0.000,0.000,0.000,-4074,31,10140,30,ddd0,3,nn1n,AAAU,0011,44,44,44,44,20,20,0,20
J002342.44-720331.3,5.9268441,-72.0587158,00h23m42.44s,-72d03m31.38s,0.1105,0.0782,-0.0623,11.383,0.055,19.8,8.494E+01,12.414,0.052,20.9,1.553E+01,12.111,null,-0.9,9.934E-01,9.297,null,-4.0,1.042E+00,1,0,0.000,0.000,0.000,0.000,-449,63,925,63,dd00,3,23nn,AAUU,0011,45,45,43,45,0,22,0,22
J002412.93-720339.2,6.0538824,-72.0609028,00h24m12.93s,-72d03m39.25s,0.0543,0.0526,-0.0067,8.469,0.029,37.8,1.701E+01,8.728,0.031,35.3,6.457E+00,8.690,0.037,29.3,2.320E+00,7.873,0.187,5.8,2.289E+00,2,0,0.000,0.000,0.000,0.000,-27,42,135,42,ddd0,3,2441,AAAB,0011,45,45,45,45,21,21,7,21
J002420.95-720703.9,6.0873152,-72.1177509,00h24m20.96s,-72d07m03.90s,0.0479,0.0472,0.0088,10.366,0.026,42.0,4.895E+00,10.979,0.027,40.5,1.393E+01,11.459,0.231,4.7,9.996E-01,9.002,null,-3.2,9.240E-01,1,0,0.000,0.000,0.000,0.000,8,40,-110,39,ddH0,3,14nn,AABU,0011,45,45,45,45,3,21,0,21
J002348.06-720505.3,5.9502662,-72.0848254,00h23m48.06s,-72d05m05.37s,0.0561,0.0447,-0.0218,9.287,0.026,42.2,1.820E+02,9.466,0.026,42.4,1.084E+02,9.416,0.052,20.7,3.907E+00,8.654,null,-0.3,8.879E-01,2,0,0.000,0.000,0.000,0.000,328,38,-20,36,ddh0,3,nn5n,AAAU,0011,44,44,44,44,19,21,0,21
J002402.56-720318.7,6.0106673,-72.0551961,00h24m02.56s,-72d03m18.71s,0.0355,0.0354,0.0088,8.262,0.022,48.3,3.347E+01,8.628,0.020,55.0,1.832E+01,8.705,0.035,30.6,1.926E+00,8.531,null,0.7,8.969E-01,1,0,0.000,0.000,0.000,0.000,214,31,-14,31,ddh0,3,364n,AAAU,0011,46,46,46,46,21,21,0,22
J002402.01-720229.3,6.0084130,-72.0414934,00h24m02.02s,-72d02m29.38s,0.0362,0.0356,0.0072,8.473,0.023,47.8,9.924E+00,8.664,0.021,52.6,1.258E+01,8.467,0.028,39.4,4.510E+00,8.355,0.269,4.0,1.828E+00,2,0,0.002,0.000,0.000,0.000,-240,32,155,32,ddd0,3,663n,AAAB,0011,44,44,44,44,21,21,1,21
J002348.63-720259.1,5.9526614,-72.0497773,00h23m48.64s,-72d02m59.20s,0.0329,0.0332,0.0066,7.904,0.023,47.6,6.253E+01,7.986,0.020,54.6,7.537E+01,7.770,0.020,53.4,1.301E+01,7.641,0.140,7.7,1.384E+00,1,0,0.005,0.000,0.000,0.000,-334,30,1410,30,ddd0,3,996n,AAAB,0011,45,45,44,44,22,22,6,22
J002431.82-720641.0,6.1325838,-72.1113892,00h24m31.82s,-72d06m41.00s,0.1244,0.1415,-0.0665,11.906,0.048,22.5,1.625E+01,12.824,0.094,11.5,4.761E+00,12.360,null,-2.4,9.855E-01,9.176,null,-1.0,9.252E-01,1,0,0.000,0.000,0.000,0.000,45,91,-638,90,ddh0,3,22nn,AAUU,0011,43,43,40,43,0,20,0,20
J002415.30-720437.1,6.0637511,-72.0769832,00h24m15.30s,-72d04m37.14s,0.0315,0.0327,0.0044,4.238,0.155,7.0,1.182E+02,6.130,0.021,50.5,4.038E+01,5.806,0.015,72.4,4.959E+01,5.667,0.052,20.8,2.332E+00,1,0,0.255,0.051,0.000,0.000,1266,28,479,29,ddh0,3,n330,BAAA,0011,38,43,45,45,20,20,20,20
J002344.66-720358.7,5.9361034,-72.0663211,00h23m44.66s,-72d03m58.76s,0.0421,0.0422,0.0075,9.413,0.024,45.7,5.393E+01,9.977,0.023,46.4,1.913E+01,9.998,0.064,17.0,9.794E-01,9.140,null,-0.4,1.065E+00,1,0,0.000,0.000,0.000,0.000,178,39,-135,36,dd00,3,330n,AAAU,0011,43,43,43,43,20,20,0,20
J002424.47-720716.8,6.1019987,-72.1213525,00h24m24.48s,-72d07m16.87s,0.0381,0.0387,0.0094,10.409,0.023,47.6,1.300E+02,11.110,0.021,52.7,4.318E+01,11.723,0.244,4.4,8.877E-01,9.203,null,-2.2,9.296E-01,1,0,0.000,0.000,0.000,0.000,47,37,-296,36,ddd0,3,n4nn,AABU,0011,45,45,44,44,1,21,0,21
J002407.15-720329.8,6.0297939,-72.0583046,00h24m07.15s,-72d03m29.90s,0.0394,0.0390,0.0030,7.544,0.028,38.3,7.243E+00,7.811,0.023,46.7,3.941E+00,7.672,0.024,45.8,1.609E+00,7.285,0.107,10.2,2.598E+00,1,0,0.087,0.000,0.000,0.000,-94,35,58,35,ddd0,3,0332,AAAA,0011,45,45,45,45,21,21,14,21
J002357.86-720427.3,5.9911178,-72.0742709,00h23m57.87s,-72d04m27.38s,0.0501,0.0452,-0.0061,8.002,0.035,30.8,2.330E+01,8.056,0.025,43.3,2.483E+01,7.958,0.024,45.5,1.108E+01,8.807,0.460,2.4,8.754E-01,3,0,0.000,0.000,0.000,0.000,-133,42,176,39,ddh0,3,660n,AAAC,0011,38,44,44,44,20,20,0,20
J002347.69-720250.5,5.9487357,-72.0473721,00h23m47.70s,-72d02m50.54s,0.0317,0.0320,0.0047,6.925,0.028,39.4,2.083E+02,7.412,0.020,54.6,5.583E+01,7.305,0.018,60.3,6.945E+00,7.287,0.130,8.3,8.828E-01,1,0,0.089,0.000,0.000,0.000,357,29,208,30,hdd0,3,n300,AAAB,0011,45,45,45,45,22,22,10,22
J002436.05-720703.3,6.1502201,-72.1175962,00h24m36.05s,-72d07m03.35s,0.0339,0.0308,0.0073,10.459,0.018,60.7,1.762E+02,10.766,0.018,61.5,5.814E+01,11.468,0.213,5.1,9.407E-01,9.245,null,-1.5,1.008E+00,1,0,0.000,0.000,0.000,0.002,740,39,46,30,hh00,3,n5nn,AABU,0011,44,44,44,44,2,20,0,20
J002358.18-720331.2,5.9924233,-72.0586732,00h23m58.18s,-72d03m31.22s,0.0366,0.0362,0.0058,7.845,0.024,44.3,7.935E+00,8.202,0.021,51.9,8.736E+00,8.192,0.026,41.9,2.798E+00,8.503,null,1.9,1.037E+00,1,0,0.042,0.001,0.000,0.000,-109,32,124,31,ddd0,3,099n,AAAU,0011,46,46,46,46,21,21,0,21
J002410.91-720701.2,6.0454787,-72.1170212,00h24m10.91s,-72d07m01.28s,0.0398,0.0401,0.0088,8.783,0.025,43.5,6.526E+00,9.078,0.022,49.6,3.252E+00,8.957,0.036,30.2,9.007E-01,6.993,0.092,11.8,3.731E+00,2,0,0.000,0.000,0.000,0.000,145,34,-58,34,ddd0,3,2300,AAAA,0011,44,44,44,44,19,19,14,19
J002431.29-720354.1,6.1303940,-72.0650482,00h24m31.29s,-72d03m54.17s,0.0418,0.0418,0.0079,9.344,0.025,43.9,3.284E+01,9.792,0.023,47.4,1.378E+01,9.751,0.053,20.3,9.080E-01,9.193,null,0.0,8.811E-01,1,0,0.000,0.000,0.000,0.008,150,34,-122,35,dd00,3,352n,AAAU,0011,45,45,45,45,21,21,0,21
J002354.56-720637.8,5.9773514,-72.1105233,00h23m54.56s,-72d06m37.88s,0.0366,0.0374,0.0081,8.280,0.023,47.3,4.932E+00,8.674,0.021,51.7,6.342E+00,8.540,0.035,31.3,1.267E+00,8.650,null,0.7,7.894E-01,1,0,0.000,0.000,0.000,0.000,-82,32,14,32,ddh0,3,141n,AAAU,0011,42,42,42,42,19,19,0,19
J002437.58-720510.7,6.1566087,-72.0863239,00h24m37.59s,-72d05m10.77s,0.0496,0.0465,0.0067,9.164,0.028,39.1,2.363E+01,9.311,0.026,42.3,1.484E+01,9.277,0.041,26.4,1.206E+00,8.600,null,2.0,1.096E+00,2,0,0.000,0.000,0.000,0.000,-142,38,-487,37,dh00,3,340n,AAAU,0011,47,47,47,47,21,21,0,22
J002421.76-720412.9,6.0906772,-72.0702635,00h24m21.76s,-72d04m12.95s,0.0332,0.0334,0.0045,5.833,0.077,14.1,2.566E+01,6.545,0.022,49.0,7.560E+00,6.141,0.016,67.3,7.542E+00,5.826,0.046,23.6,2.012E+00,1,0,0.145,0.034,0.000,0.000,272,28,846,29,ddh0,3,4881,AAAA,0011,45,45,46,46,21,21,21,21
J002430.29-720226.7,6.1262242,-72.0407642,00h24m30.29s,-72d02m26.75s,0.0357,0.0362,0.0090,9.146,0.022,48.5,3.262E+00,9.376,0.021,52.9,3.201E+00,9.283,0.034,32.3,9.943E-01,8.833,null,1.1,8.971E-01,1,0,0.000,0.000,0.000,0.000,-28,31,-2,31,hh00,3,120n,AAAU,0011,46,46,46,46,20,20,0,21
J002355.38-720430.4,5.9807649,-72.0751241,00h23m55.38s,-72d04m30.45s,0.0487,0.0489,0.0064,8.385,0.031,34.6,5.389E+01,8.503,0.026,42.0,4.130E+01,8.383,0.028,38.1,1.159E+01,8.144,0.223,4.9,1.037E+00,3,0,0.000,0.000,0.000,0.000,-791,34,-152,34,hdh0,3,230n,AAAB,0011,40,44,43,43,21,21,1,21
J002347.23-720552.7,5.9468100,-72.0979922,00h23m47.23s,-72d05m52.77s,0.0383,0.0369,0.0048,8.591,0.024,45.6,1.968E+01,8.726,0.021,51.1,1.529E+01,8.477,0.026,41.6,7.820E+00,7.745,0.158,6.9,3.778E+00,1,0,0.011,0.000,0.000,0.000,-194,36,197,37,dd00,3,666n,AAAB,0011,42,42,42,42,19,19,4,19
J002404.36-720654.2,6.0181918,-72.1150833,00h24m04.37s,-72d06m54.30s,0.0329,0.0332,0.0052,7.609,0.024,45.8,6.405E+01,7.832,0.020,54.6,5.636E+01,7.844,0.020,54.1,3.861E+00,8.305,0.306,3.6,9.455E-01,1,0,0.021,0.000,0.000,0.000,-394,35,-209,33,ddd0,3,441n,AAAB,0011,43,43,43,43,19,19,2,19
J002336.57-720449.6,5.9023754,-72.0804560,00h23m36.57s,-72d04m49.64s,0.0434,0.0430,0.0101,9.996,0.025,43.0,5.278E+01,10.271,0.023,47.6,2.861E+01,10.704,0.095,11.4,1.033E+00,9.298,null,0.0,9.911E-01,1,0,0.000,0.000,0.000,0.000,-328,37,524,36,dh00,3,330n,AAAU,0011,45,45,44,44,17,21,0,21
J002401.77-720409.0,6.0074045,-72.0691936,00h24m01.78s,-72d04m09.10s,0.0380,0.0379,0.0064,5.969,0.144,7.5,2.567E+02,7.557,0.023,46.4,2.319E+01,7.555,0.026,41.4,4.372E+00,8.585,0.435,2.5,1.067E+00,1,0,0.169,0.000,0.000,0.002,381,118,-703,102,ddd0,3,n41n,BAAC,0011,41,44,44,44,20,20,0,20
J002425.79-720548.6,6.1074735,-72.0968559,00h24m25.79s,-72d05m48.68s,0.0486,0.0481,0.0043,9.510,0.027,39.7,1.467E+01,10.088,0.026,41.9,9.862E+00,10.389,0.088,12.3,1.281E+00,9.077,null,-3.1,9.590E-01,1,0,0.000,0.000,0.000,0.000,7,41,138,39,ddh0,3,441n,AAAU,0011,45,45,45,45,13,20,0,20
J002413.00-720648.6,6.0541693,-72.1135220,00h24m13.00s,-72d06m48.68s,0.1594,0.2041,-0.0943,9.434,0.082,13.2,3.730E+00,9.663,0.249,4.4,1.332E+00,9.627,0.216,5.0,8.671E-01,8.057,null,-1.7,9.009E-01,2,1,0.762,0.132,0.000,0.000,null,null,null,null,ddH0,3,nnnn,ABBU,0011,39,44,40,45,14,20,0,20
J002430.84-720704.5,6.1285087,-72.1179410,00h24m30.84s,-72d07m04.59s,0.0372,0.0378,0.0093,9.339,0.023,47.3,4.068E+00,9.619,0.021,52.3,3.288E+00,9.630,0.057,18.9,9.155E-01,9.252,null,-1.4,9.897E-01,1,0,0.000,0.000,0.000,0.000,0,32,0,33,ddh0,3,021n,AAAU,0011,44,44,44,44,20,20,0,20
J002338.16-720439.4,5.9090191,-72.0776305,00h23m38.16s,-72d04m39.47s,0.0366,0.0364,0.0105,10.230,0.020,55.4,3.710E+01,10.836,0.022,49.7,9.975E+00,11.205,0.144,7.5,8.619E-01,8.859,null,-0.6,8.038E-01,1,0,0.000,0.000,0.000,0.000,362,34,-709,34,dd00,3,44nn,AABU,0011,44,44,44,44,5,20,0,20
J002426.26-720605.3,6.1094431,-72.1014801,00h24m26.27s,-72d06m05.33s,0.0718,0.0698,-0.0110,10.334,0.033,32.7,3.773E+01,11.110,0.039,27.6,1.671E+01,11.610,0.318,3.4,8.689E-01,9.213,null,-1.1,9.619E-01,1,0,0.000,0.000,0.000,0.000,130,54,244,52,dhd0,3,24nn,AABU,0011,44,44,44,44,3,21,0,21
J002358.19-720549.2,5.9924722,-72.0970041,00h23m58.19s,-72d05m49.21s,0.0344,0.0345,0.0067,6.045,0.085,12.8,1.324E+01,6.414,0.022,48.5,2.991E+00,6.043,0.017,65.7,9.612E-01,5.633,0.043,25.0,1.479E+00,1,0,0.185,0.108,0.000,0.000,55,28,-6,29,ddd0,3,3011,AAAA,0011,43,43,43,43,20,20,20,20
J002340.51-720619.2,5.9188220,-72.1053554,00h23m40.52s,-72d06m19.28s,0.0438,0.0451,0.0074,10.480,0.025,43.4,3.717E+01,11.156,0.024,45.8,1.086E+01,11.848,0.257,4.2,1.010E+00,8.890,null,-1.5,8.934E-01,1,0,0.000,0.000,0.000,0.000,46,40,118,40,ddd0,3,44nn,AABU,0011,43,43,43,43,3,20,0,20
