designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002337.15-720637.6,5.9048033,-72.1104701,00h23m37.15s,-72d06m37.69s,0.0372,0.0387,0.0088,9.435,0.022,48.6,1.528E+01,9.750,0.021,50.9,2.512E+00,9.871,0.072,15.0,7.830E-01,9.234,null,-0.4,9.673E-01,1,0,0.000,0.000,0.000,0.000,132,32,-39,34,dh00,3,321n,AAAU,0011,44,44,44,44,21,21,0,21
J002408.94-720259.5,6.0372790,-72.0498748,00h24m08.95s,-72d02m59.55s,0.0347,0.0347,0.0070,6.784,0.036,30.5,5.215E+00,7.046,0.020,54.3,2.455E+00,6.868,0.017,62.1,1.267E+00,6.810,0.103,10.5,8.048E-01,1,0,0.360,0.002,0.000,0.000,-42,31,160,31,hhh0,3,0110,AAAA,0011,42,42,44,44,21,21,21,21
J002351.31-720349.2,5.9637930,-72.0636725,00h23m51.31s,-72d03m49.22s,0.0435,0.0438,-0.0134,7.042,0.045,24.1,2.838E+00,7.301,0.024,45.3,2.937E+00,7.171,0.022,49.8,1.165E+00,7.200,0.104,10.5,1.182E+00,2,0,0.207,0.000,0.000,0.000,154,53,55,37,ddh0,2,1300,AAAA,0011,45,45,45,45,20,20,15,20
J002352.76-720651.6,5.9698361,-72.1143421,00h23m52.76s,-72d06m51.63s,0.0570,0.0482,0.0172,11.831,0.027,39.8,1.257E+02,16.750,null,-58.2,5.125E+01,12.548,null,-4.8,9.674E-01,9.075,null,-1.4,1.018E+00,2,0,0.000,0.001,0.000,0.000,-347,50,-393,64,dDH0,3,nnnn,AUUU,0011,41,41,4,42,0,19,0,19
J002349.28-720619.6,5.9553612,-72.1054517,00h23m49.29s,-72d06m19.63s,0.0366,0.0356,0.0054,7.683,0.027,39.8,2.666E+00,7.867,0.022,48.8,2.103E+00,7.730,0.020,54.2,1.116E+00,7.611,0.121,9.0,1.080E+00,1,0,0.093,0.001,0.000,0.000,38,34,41,33,hd00,2,0000,AAAB,0011,42,42,42,42,19,19,9,19
J002420.40-720555.0,6.0850394,-72.0986254,00h24m20.41s,-72d05m55.05s,0.0345,0.0344,0.0062,8.093,0.023,47.2,7.811E+01,8.208,0.020,53.4,6.868E+01,8.358,0.023,47.1,9.140E+00,9.201,null,0.1,9.799E-01,1,0,0.000,0.000,0.000,0.000,-865,42,9193,32,ddd0,3,330n,AAAU,0011,44,44,44,44,20,20,0,20
J002358.94-720234.5,5.9956043,-72.0429250,00h23m58.95s,-72d02m34.53s,0.0309,0.0314,0.0064,6.306,0.048,22.8,5.813E+01,7.025,0.020,54.5,2.889E+00,6.806,0.017,65.0,1.311E+00,6.746,0.073,14.9,9.537E-01,1,0,0.089,0.022,0.000,0.000,-57,29,125,29,dd00,3,3310,AAAA,0011,44,44,44,44,21,21,21,21
J002406.40-720658.8,6.0266796,-72.1163513,00h24m06.40s,-72d06m58.86s,0.0368,0.0367,0.0067,8.168,0.024,44.4,5.160E+01,8.235,0.021,51.3,6.855E+01,8.244,0.024,44.7,6.382E+00,8.651,0.442,2.5,1.142E+00,2,0,0.000,0.000,0.000,0.000,-269,33,653,42,ddd0,3,998n,AAAC,0011,43,43,43,43,19,19,0,19
J002413.04-720452.4,6.0543411,-72.0812388,00h24m13.04s,-72d04m52.46s,0.0303,0.0287,0.0064,4.461,0.145,7.5,1.835E+02,5.121,0.085,12.8,4.458E+02,6.333,0.019,57.3,2.131E+01,5.813,0.054,20.0,6.853E+00,1,0,0.293,0.083,0.000,0.000,1098,25,-583,24,ddd0,3,nn33,BAAA,0011,36,43,45,45,20,20,20,20
J002357.00-720648.8,5.9875382,-72.1135773,00h23m57.01s,-72d06m48.88s,0.0433,0.0433,0.0089,9.248,0.025,43.5,6.378E+00,9.745,0.024,45.8,8.515E+00,9.664,0.051,21.2,1.258E+00,9.061,null,-3.7,8.647E-01,1,0,0.000,0.000,0.000,0.000,-162,36,114,36,ddd0,3,141n,AAAU,0011,43,43,43,43,19,19,0,19
