ra,dec,objId,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
229.03157000431,-0.091039604511829,1.23764872125218918E18,22.11511,21.06926,20.82339,20.6425,20.5917
229.03101353454,-0.092622826653264,1.23764872125218918E18,22.33334,21.26432,20.96659,20.77371,21.151
229.03879200919,-0.097888785345861,1.23764872125218944E18,19.86304,17.4688,16.35036,15.92355,15.6819
229.03805787506,-0.099358894456984,1.23764872125218944E18,23.20949,24.97702,23.96146,22.43687,22.0323
229.04478514394,-0.109851946715327,1.23764872125218944E18,24.51762,24.62926,24.32696,22.15499,21.4319
229.0297117399,-0.094499639198572,1.23764872125219021E18,23.12895,21.34234,21.08333,20.91821,21.005
229.0355866695,-0.098341929013569,1.23764872125219021E18,21.84209,21.08637,20.70257,20.5481,20.2747
229.03882905779,-0.103156275870983,1.23764872125219021E18,21.94414,20.85041,20.62058,20.46656,20.3795
229.03980160189,-0.102185846791796,1.23764872125219021E18,22.62604,21.67236,21.3578,21.06273,21.3
229.04369688862,-0.111795518122038,1.23764872125219021E18,22.1303,20.9439,20.65436,20.46478,20.5764
229.00488042972,-0.118752435081583,1.23764872125219072E18,24.98242,22.88579,22.5301,22.22716,22.0262
229.01145132004,-0.131540396050623,1.23764872125219098E18,22.58879,21.98039,21.66409,21.44436,20.7927
229.01084795549,-0.129426911325291,1.23764872125219098E18,24.20015,22.78444,22.30943,22.00121,21.5174
229.01473758917,-0.130232106205452,1.23764872125219098E18,24.04789,22.89849,22.34915,22.2991,22.1178
229.01782829629,-0.091529025439745,1.23764872125219098E18,24.60937,22.96107,23.05068,22.92677,22.558
229.02221190335,-0.088724075369615,1.23764872125219098E18,23.1286,22.44402,22.07594,21.68747,21.7405
229.02253226676,-0.133786295934833,1.23764872125219098E18,24.26233,22.83,23.05095,22.46934,21.8837
229.02300185264,-0.132048779769453,1.23764872125219098E18,23.851,23.37406,23.0409,22.84568,23.0305
229.0244441413,-0.092401843722997,1.23764872125219098E18,23.74373,22.954,22.97432,22.51498,21.7272
229.02854674033,-0.091118437679409,1.23764872125219098E18,23.11543,22.14809,21.79651,21.69871,21.3529
229.02749825093,-0.091179987845174,1.23764872125219098E18,24.23094,22.83497,22.09757,22.07533,21.7922
229.02644160953,-0.091420377976043,1.23764872125219098E18,24.48934,22.86051,22.20702,22.47098,21.949
229.02795346431,-0.091427046940277,1.23764872125219098E18,23.87334,22.72696,22.3096,22.18161,22.5272
229.03602227078,-0.094427971957227,1.23764872125219098E18,25.43003,23.27219,23.06972,22.46312,21.7903
229.03784594325,-0.095155894704858,1.23764872125219098E18,23.99188,22.6103,22.07398,22.23634,21.3236
229.04177029845,-0.102619405888755,1.23764872125219098E18,23.05434,22.79144,22.25739,22.06479,21.5175
229.0158350831,-0.089862791312772,1.23764872125219123E18,24.40845,24.27652,22.74685,21.91028,21.0573
228.99995573439,-0.093600143189125,1.23764872125218842E18,21.63447,20.63305,20.38862,20.38314,20.2934
229.03609233735,-0.134221476047262,1.23764872125218842E18,18.67714,16.4671,15.5842,15.2009,15.0072
229.03054960783,-0.132590216543828,1.23764872125218842E18,22.28269,19.68493,18.27493,17.6286,17.2583
229.03879098718,-0.134455117614833,1.23764872125218842E18,21.22175,19.9402,19.42344,19.12659,19.1523
229.04139691133,-0.132779103023888,1.23764872125218842E18,21.26085,19.93561,19.38116,19.13872,19.0094
229.03021724555,-0.133094410482062,1.23764872125218842E18,21.98015,20.50445,20.3228,20.24754,19.9954
228.99934212086,-0.104407076219557,1.23764872125218842E18,21.53485,20.3524,19.81586,19.57608,19.4903
229.04550239329,-0.121154392872946,1.23764872125218842E18,24.4014,21.75243,20.34847,19.59245,19.12
229.04371201291,-0.125676458835074,1.23764872125218842E18,21.72277,20.46973,20.02448,19.85954,19.8994
229.03634374778,-0.135235949689482,1.23764872125218842E18,22.95305,23.41284,21.1638,22.50006,22.3863
229.0305169654,-0.134302573105848,1.23764872125218842E18,21.57011,20.52638,20.13999,19.96048,19.9478
228.99836869447,-0.128180544250505,1.23764872125218842E18,21.58249,20.4915,20.12384,20.01151,19.7849
228.99648392398,-0.11738531701707,1.23764872125218842E18,22.46161,21.23939,20.40975,19.91004,19.6316
229.02394551733,-0.136607043685121,1.23764872125218842E18,21.6972,20.66076,20.2639,20.02031,20.0284
229.03928450001,-0.133891659544012,1.23764872125218842E18,23.16941,21.28148,21.10943,20.84877,21.065
229.03344650668,-0.132785788561652,1.23764872125218842E18,22.30864,20.85369,20.40813,20.1915,20.0792
228.99666709309,-0.116684329363252,1.23764872125218842E18,22.09001,21.03013,20.69469,20.57135,21.1865
229.00835545539,-0.134100568414345,1.23764872125218867E18,18.94317,16.98492,16.17309,15.821,15.6208
229.00592614016,-0.133272444300689,1.23764872125218867E18,21.98172,20.66497,20.33903,20.19378,20.265
229.00683316599,-0.13424460187127,1.23764872125218867E18,22.85466,23.23518,21.25342,20.78339,21.5855
229.00509552133,-0.13302630780259,1.23764872125218867E18,22.88993,22.19366,21.71187,21.54082,22.1575
229.00320928686,-0.133370092077421,1.23764872125218867E18,23.50246,21.94203,21.74545,21.5536,21.2601
228.99692493229,-0.097177744859648,1.23764872125218918E18,22.31421,20.30922,19.40008,19.12053,18.9165
228.99915110483,-0.096256407449842,1.23764872125218918E18,21.79445,20.59945,20.2257,20.11839,19.9665
228.99805727243,-0.096137863935774,1.23764872125218918E18,22.06963,21.32648,21.19603,21.10616,21.2455
228.99704191472,-0.109417740197998,1.23764872125218918E18,21.90179,19.41272,18.00936,17.2813,16.8765
228.99908657883,-0.108662894138343,1.23764872125218918E18,22.30603,21.5845,21.23745,21.09908,21.5215
229.00132520309,-0.099985137052168,1.23764872125218918E18,19.71015,18.20222,17.57294,17.29277,17.1383
229.00280819226,-0.097897264773024,1.23764872125218918E18,20.99383,20.11782,19.93851,19.84764,19.8153
229.00213959329,-0.096585844171547,1.23764872125218918E18,22.67492,21.19875,20.91389,20.82866,20.842
229.000762012,-0.100829159095705,1.23764872125218918E18,22.23065,21.45942,21.11569,20.89666,20.7843
229.0023813987,-0.095054544431554,1.23764872125218918E18,23.85806,23.19524,22.78339,22.36602,22.0129
229.01083844192,-0.089395490238509,1.23764872125218918E18,19.87995,18.33342,17.67616,17.38407,17.2471
229.00942261361,-0.090028969240702,1.23764872125218918E18,21.89247,21.07604,20.55218,20.35271,20.4097
229.00966435719,-0.091050043497546,1.23764872125218918E18,24.45334,21.29475,20.93002,20.88274,21.9351
229.01803152944,-0.135464677220618,1.23764872125218918E18,21.05633,20.24134,19.88263,19.64733,19.4846
229.01923623633,-0.135279129879201,1.23764872125218918E18,23.24282,21.97226,21.45287,21.32095,21.6953
229.01364235859,-0.133750338911725,1.23764872125218918E18,23.20767,21.97019,21.6668,21.42495,22.1299
229.01661268006,-0.13356810611004,1.23764872125218918E18,24.21214,24.05012,23.7191,22.16023,22.7072
229.01483143733,-0.136117638538813,1.23764872125218918E18,24.03696,22.54393,22.7119,22.1084,22.3421
229.01663742339,-0.13504744615336,1.23764872125218918E18,23.88203,22.9814,22.66251,22.56209,22.9114
229.01390117261,-0.134691829524649,1.23764872125218918E18,22.21983,20.34283,19.59188,19.29193,19.0979
229.0231532401,-0.083886378924351,1.23764872125218918E18,20.03101,18.6393,18.05609,17.81319,17.6924
229.02511253138,-0.082766061559782,1.23764872125218918E18,23.93619,21.66547,20.80624,20.45924,20.6702
229.01783903432,-0.083643422413188,1.23764872125218918E18,22.45179,21.63408,21.40369,21.34449,21.4008
229.01856710854,-0.083738921033021,1.23764872125218918E18,24.37269,22.30939,21.9158,22.09422,21.8061
229.02432389476,-0.082545478658234,1.23764872125218918E18,23.90675,22.37692,21.94963,21.9488,21.9736
229.02111507045,-0.082476471621843,1.23764872125218918E18,24.78244,25.21138,23.8787,21.67993,20.8697
229.01860525059,-0.083124817285008,1.23764872125218918E18,23.71596,22.68326,22.14234,22.088,22.6301
229.02009407488,-0.082464160838553,1.23764872125218918E18,25.22651,23.52181,22.79011,22.40334,21.9322
229.03545920152,-0.086129260620075,1.23764872125218918E18,19.63814,18.199,17.57041,17.27895,17.1346
229.02667815041,-0.085876248000516,1.23764872125218918E18,21.895,19.44163,18.29436,17.81483,17.5433
229.03319276761,-0.089237803662108,1.23764872125218918E18,20.57334,19.05664,18.45146,18.22225,18.105
229.03289301165,-0.086012076492043,1.23764872125218918E18,22.07646,20.86658,20.54933,20.46745,20.3699
229.02611235945,-0.084888614211257,1.23764872125218918E18,22.32637,21.15415,20.94021,20.80013,20.7501
229.02558268146,-0.087183344753991,1.23764872125218918E18,22.18777,21.15625,20.82417,20.80273,20.5698
229.02877000946,-0.086950738592399,1.23764872125218918E18,22.28614,21.79313,21.46715,21.27218,20.9325
229.03215103821,-0.084220406839658,1.23764872125218918E18,21.93494,21.21067,20.91308,20.93411,20.8623
229.03026343369,-0.086927227026895,1.23764872125218918E18,22.15966,21.33645,20.90956,20.8139,20.7162
229.03444467471,-0.089929330050423,1.23764872125218918E18,24.2986,22.40823,21.2711,20.78107,20.2667
229.03431637042,-0.084942140180198,1.23764872125218918E18,24.08751,23.15112,21.41626,21.10745,22.2168
229.03110368538,-0.088968113274585,1.23764872125218918E18,23.61834,22.09929,21.59548,21.36828,21.4992
229.02588204269,-0.086594381140084,1.23764872125218918E18,22.74615,22.25139,21.69336,21.6169,22.2422
229.0364516031,-0.088362076282256,1.23764872125218918E18,23.52184,22.38323,21.79632,21.72947,22.3476
229.0274702659,-0.087401526333408,1.23764872125218918E18,22.99595,22.47108,22.11678,21.85046,21.2467
229.03365407969,-0.088125863956948,1.23764872125218918E18,24.16224,22.78172,22.28238,21.99477,21.9089
229.03180739797,-0.08750651602155,1.23764872125218944E18,24.2185,23.433,22.52133,22.57192,22.3322
229.04015614504,-0.089179924813078,1.23764872125218944E18,24.15322,23.07481,22.58267,22.22639,22.9053
229.03782471123,-0.086804951327151,1.23764872125218944E18,24.28042,23.05222,22.67786,22.29743,21.714
229.03714452177,-0.087217492886941,1.23764872125218944E18,23.94045,23.2671,23.40568,23.01819,21.9683
229.04425003124,-0.097124619119542,1.23764872125218944E18,21.92588,20.07894,19.23868,18.94828,18.7857
229.04374943025,-0.097385416073877,1.23764872125218944E18,22.0493,20.8182,20.54334,20.332,20.3632
229.04199332102,-0.099447973273212,1.23764872125218944E18,22.47264,21.48301,21.09693,20.87774,20.9422
229.04298115425,-0.0991124479017,1.23764872125218944E18,24.96247,24.45786,23.71142,21.81142,21.5313
229.04401958112,-0.098801777104995,1.23764872125218944E18,23.87865,22.68687,22.19184,21.99841,21.5057
229.04387898321,-0.100360394053348,1.23764872125218944E18,24.07121,22.81348,22.31148,22.32981,21.4134
229.04161864991,-0.097502974265821,1.23764872125218944E18,22.64214,22.91874,22.56256,22.17946,21.9671
229.04477830746,-0.095675477259179,1.23764872125218944E18,24.80643,23.39565,22.74055,22.74046,21.9579
229.04196911958,-0.093583816152945,1.23764872125218944E18,22.0302,20.09755,19.05535,18.63528,18.3319
229.04191034641,-0.091133471106463,1.23764872125218944E18,22.93957,21.69284,21.31704,21.09038,21.4068
229.03997567122,-0.093195008270237,1.23764872125218944E18,23.99421,22.49274,22.03874,21.59894,21.1739
229.04704685572,-0.111622459169738,1.23764872125218944E18,21.3633,20.18671,19.61442,19.36917,19.3406
229.04962322553,-0.112511035867495,1.23764872125218944E18,23.66552,23.08162,21.74145,20.18386,19.5996
229.04587114972,-0.107674040027266,1.23764872125218944E18,21.90973,20.87777,20.55464,20.42172,20.3393
229.05031788448,-0.114416085699986,1.23764872125218944E18,24.30977,22.21659,21.1026,20.62881,20.3769
229.04867446529,-0.110871588455636,1.23764872125218944E18,23.87876,21.79918,21.44588,21.27466,20.969
229.04690952567,-0.109384839449386,1.23764872125218944E18,22.57985,24.49308,24.75795,22.35491,22.3511
229.04629881141,-0.108244418525232,1.23764872125218944E18,24.03099,22.73203,22.31944,21.52905,22.2555
229.04868919422,-0.108677421661007,1.23764872125218944E18,23.93783,22.35517,21.83916,21.69051,21.4607
229.04489552338,-0.109278009383298,1.23764872125218944E18,24.93692,23.13337,22.47197,22.45759,21.7881
229.04954758316,-0.109685105075098,1.23764872125218944E18,24.81147,23.01131,22.61131,22.85684,22.6283
229.04746989818,-0.112765280414709,1.23764872125218944E18,24.54477,23.17135,24.1307,22.65807,22.3061
229.0036529727,-0.089791985600141,1.2376487212521897E18,22.36629,21.32217,20.88211,20.85798,20.9122
229.00663801594,-0.087353748797546,1.2376487212521897E18,22.88984,21.61824,21.33263,21.45234,20.7816
229.00817877785,-0.086469111096397,1.2376487212521897E18,23.84371,22.67381,22.24864,22.05946,22.5066
229.0043728533,-0.088131641327856,1.2376487212521897E18,24.59199,23.52883,22.80803,23.23323,21.9847
229.00927370538,-0.086222157036622,1.2376487212521897E18,25.54475,23.38032,23.12327,22.53216,22.296
228.99661547361,-0.113447261575465,1.23764872125218995E18,22.27659,21.26014,20.92748,20.95453,20.5533
228.99533777277,-0.111623095905932,1.23764872125218995E18,23.15238,21.85541,21.60533,21.69621,21.2402
228.99816561686,-0.120677468134738,1.23764872125218995E18,22.05541,20.7181,20.37295,20.28297,20.1311
228.99762081677,-0.121501178665916,1.23764872125218995E18,22.00866,21.2627,21.02013,20.74858,20.7551
228.9979941264,-0.119736385132115,1.23764872125218995E18,23.97931,22.49506,22.30878,22.25173,22.0409
229.00254040192,-0.091941626611912,1.23764872125218995E18,22.35249,21.66491,21.31515,21.20759,20.9435
229.01542216938,-0.084941468007421,1.23764872125218995E18,21.84885,20.95457,20.68767,20.52963,20.4542
229.01675305389,-0.087199096692388,1.23764872125218995E18,22.17971,21.36123,21.00705,20.89656,20.8145
229.01551285234,-0.087921049214626,1.23764872125218995E18,24.01657,21.99168,21.71797,21.57579,21.5917
229.01356957483,-0.087538168876973,1.23764872125219021E18,23.07219,22.29359,21.75229,21.62427,21.4862
229.0144342018,-0.087074478773497,1.23764872125219021E18,24.12946,22.55549,22.504,22.0774,22.0205
229.01856797458,-0.08739916820021,1.23764872125219021E18,24.37283,22.46337,22.02616,21.79551,21.5128
229.01794111042,-0.085957697725032,1.23764872125219021E18,23.55113,22.53819,22.08403,22.00307,21.5674
229.01932382936,-0.087082981989557,1.23764872125219021E18,24.23237,22.56097,22.16056,22.40203,21.7825
229.01897056744,-0.088203483337827,1.23764872125219021E18,24.59064,23.52522,24.10367,22.90573,21.7113
229.04786935015,-0.114812184442117,1.23764872125219021E18,21.81307,20.80833,20.47763,20.35673,20.4025
228.99930311869,-0.110764781145111,1.23764872125219072E18,23.32253,23.28501,22.96431,22.52972,21.6247
229.0065876617,-0.090800449754542,1.23764872125219072E18,22.83859,21.85948,21.48173,21.316,21.1486
229.00651418459,-0.131252498172651,1.23764872125219072E18,23.03433,22.24063,21.80455,21.54167,21.2094
229.0101169378,-0.130867882883209,1.23764872125219098E18,23.43656,23.39156,22.54183,23.20484,22.5452
229.01915944717,-0.138661386403711,1.23764872125219098E18,23.34367,22.80424,22.23515,21.86518,21.6889
229.01815134313,-0.139542267619032,1.23764872125219098E18,24.39945,22.97883,22.06476,21.96022,23.2898
229.02005869479,-0.138457902848565,1.23764872125219098E18,23.71754,22.86992,22.60014,23.36485,21.7478
229.02245992302,-0.139123719622954,1.23764872125219098E18,23.60936,23.21246,23.11398,23.02635,23.0879
229.03790651167,-0.092033710253715,1.23764872125219098E18,22.84967,22.20625,21.70201,21.69057,21.7173
229.0488318808,-0.102684502933707,1.23764872125219098E18,23.78496,22.40659,21.79328,21.82629,21.8108
229.04684431285,-0.100567342366737,1.23764872125219098E18,22.90021,22.14341,21.63843,21.68847,21.1646
229.04872383075,-0.100235799334171,1.23764872125219098E18,24.87489,22.37794,22.0513,21.82818,22.9771
229.01538405466,-0.137946536507864,1.23764872125219123E18,24.39424,23.69077,22.63625,22.85637,23.2513
229.04903482086,-0.106653904017698,1.23764872125219123E18,24.74756,23.38482,22.5193,22.29104,22.2061
229.02807998879,-0.136538828589936,1.23764872125219149E18,25.27488,23.69481,23.23155,21.75807,20.9332
228.98645267779,-0.100121018823405,1.23764872125218842E18,22.44617,21.51291,21.17473,20.90976,20.7121
228.98841950355,-0.114778644747963,1.23764872125218842E18,19.00021,17.78579,17.62191,17.57288,17.5448
228.99018368585,-0.119460176482281,1.23764872125218842E18,21.08026,19.79602,19.19583,18.98755,18.8749
228.98735965737,-0.113101687590836,1.23764872125218842E18,22.36921,21.39558,20.93444,20.76661,20.4085
228.98770706579,-0.109640030605285,1.23764872125218842E18,22.19934,21.49473,21.14699,21.165,20.8428
228.99236407164,-0.116723179152856,1.23764872125218842E18,23.34718,22.20932,21.83805,21.35682,22.4276
228.98927579278,-0.118483017962446,1.23764872125218842E18,23.5078,22.17939,21.79545,21.78723,21.3955
228.98829280942,-0.11152017737747,1.23764872125218842E18,24.40516,22.15535,21.83162,21.84702,22.4291
228.99129814321,-0.114600823768155,1.23764872125218842E18,23.9792,25.03934,24.61338,21.70142,21.0665
228.98865957684,-0.117819959038085,1.23764872125218842E18,23.05315,22.49953,22.1797,21.95297,21.9153
228.99060436841,-0.116650724232797,1.23764872125218842E18,24.37312,25.4067,23.99549,22.44014,20.7741
228.9907954865,-0.117993619112328,1.23764872125218842E18,23.70939,22.96277,22.24109,22.2782,22.7909
228.99058673984,-0.113733069126366,1.23764872125218842E18,24.69851,23.23365,22.84548,22.82343,21.8351
